Id,SalePrice
1461,126802.13451385497
1462,168869.1139221191
1463,162527.9903411865
1464,177563.6553764343
1465,201554.89444732663
1466,168183.89892578122
1467,164424.5624542236
1468,156992.72155761716
1469,193008.33940505979
1470,107774.31726455687
1471,203174.09038543698
1472,110490.23866653441
1473,104475.48627853392
1474,163599.38383102414
1475,137583.56571197507
1476,345776.3195037841
1477,278031.8737030029
1478,299468.35041046137
1479,285140.1329040527
1480,405215.6448364257
1481,318630.26618957514
1482,210398.65016937253
1483,178891.28923416135
1484,174000.54931640622
1485,140646.68416976926
1486,193268.78786087033
1487,334092.0448303222
1488,282120.8238601684
1489,203952.00252532956
1490,193536.5796089172
1491,193051.01633071897
1492,121584.58232879637
1493,180330.9321403503
1494,307214.0216827392
1495,309277.08148956293
1496,215857.88726806638
1497,202274.25098419187
1498,155515.90919494626
1499,155515.90919494626
1500,139669.27528381345
1501,160733.13951492307
1502,146132.9102516174
1503,283248.1622695922
1504,240901.04103088376
1505,222869.11010742185
1506,222667.43183135983
1507,255429.57782745358
1508,220059.08489227292
1509,160977.2443771362
1510,152041.4590835571
1511,150270.68853378293
1512,175128.44800949094
1513,152321.6366767883
1514,166612.8039360046
1515,180383.78953933713
1516,162318.0270195007
1517,148781.97908401486
1518,183362.78200149533
1519,223827.9342651367
1520,140051.97286605832
1521,145458.28104019162
1522,184410.38131713864
1523,113356.12535476683
1524,124010.93244552611
1525,124734.21096801756
1526,125411.88001632689
1527,90662.80722618102
1528,136401.8082618713
1529,148639.86968994138
1530,186779.86860275266
1531,128865.95726013182
1532,108814.13221359251
1533,162019.4315910339
1534,135857.60593414304
1535,146545.6128120422
1536,137710.20174026486
1537,47118.8724040985
1538,186438.94195556638
1539,204010.41507720944
1540,147078.9790153503
1541,166579.06770706174
1542,154616.86849594113
1543,211641.21627807614
1544,90596.05002403258
1545,118077.98147201537
1546,137057.85274505612
1547,133468.92595291135
1548,145262.62283325192
1549,116339.88618850707
1550,157785.43949127194
1551,147702.30054855344
1552,151405.53712844846
1553,124497.80702590941
1554,122320.46127319334
1555,161171.019077301
1556,110689.54467773436
1557,140574.34797286984
1558,111318.01605224608
1559,113421.7858314514
1560,157128.20291519162
1561,150084.9604606628
1562,118495.64313888548
1563,114636.95764541625
1564,161765.14625549313
1565,139744.74668502805
1566,225392.74692535397
1567,94239.58659172057
1568,219516.44420623776
1569,100576.99680328368
1570,130803.71618270873
1571,120965.63577651976
1572,142114.6750450134
1573,222226.11904144284
1574,154392.13514328
1575,210514.59312438962
1576,222304.34417724606
1577,195875.19168853757
1578,152355.11064529416
1579,130610.57329177855
1580,199220.28779983518
1581,129608.96492004393
1582,126019.96660232542
1583,311122.9181289672
1584,247583.84227752683
1585,134130.54943084714
1586,67518.43094825743
1587,102731.75239562987
1588,144189.79883193967
1589,107180.29737472533
1590,144768.4049606323
1591,98450.40440559386
1592,144161.37933731076
1593,134210.4911804199
1594,114890.1581764221
1595,122306.52570724486
1596,248052.66857147214
1597,192562.75892257688
1598,157726.0851860046
1599,187506.94990158078
1600,195792.4127578735
1601,58119.67253684997
1602,143524.44410324094
1603,101832.78322219847
1604,245090.62767028806
1605,264896.2259292602
1606,173086.84587478635
1607,247144.17457580563
1608,218605.42297363278
1609,182203.82928848264
1610,121805.22680282591
1611,147494.9240684509
1612,171675.01449584958
1613,165537.48846054074
1614,121372.55668640135
1615,78446.98429107665
1616,78446.98429107665
1617,95179.69489097594
1618,116388.64278793334
1619,122305.9058189392
1620,219206.28547668454
1621,131352.2934913635
1622,132830.81054687497
1623,254290.03238677976
1624,214143.25237274167
1625,135585.7968330383
1626,190741.28866195676
1627,178445.88756561276
1628,271882.2240829467
1629,150685.53686141965
1630,301102.590560913
1631,219292.87910461423
1632,247449.68414306638
1633,141080.00993728635
